OECID,FacilityName,OECID_Name,Date,Electricity Cost ($),Electricity Demand (KW),Electricity Usage (KWH),Gas (Therms),Gas Cost ($),Steam (mlbs),Steam Cost ($),Total Cost ($),Total Usage (mmBTUs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100581,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/22,122664.34,1507.36,1364800,,,3029,96919.2,219583.54,8041.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100582,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/22,167836.74,1739.2,1465600,,,2383,89095.72,256932.46,7664.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100584,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 10/1/22,158794.22,1740.64,866400,,,2117,51997.21,210791.43,5322.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100585,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 9/1/22,233781.35,1923.52,1147200,,,2109,36412.93,270194.28,6271.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100586,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 8/1/22,210549.9,2095.84,1079200,,,2116,34986.3,245536.2,6047.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100587,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 7/1/22,203792.83,2022.4,973600,,,1913,33620.21,237413.04,5460.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100589,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 6/1/22,181823.19,1756.96,999200,,,1771,34163.76,215986.95,5388.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100590,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 5/1/22,129380.35,1693.6,868800,,,2219,45876.07,175256.42,5444.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100591,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 4/1/22,161149.01,1710.4,933600,,,2089,76420.01,237569.02,5520.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100592,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 3/1/22,179832.96,1649.92,936000,,,2862,107050.36,286883.32,6391.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100593,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 2/1/22,130679.29,1763.2,970400,,,2762,109058.13,239737.42,6397.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100594,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 1/1/22,125769.39,1614.88,824800,,,3499,119727.51,245496.9,6724.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100595,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/21,126896.61,1507.36,988800,,,2963,97337.32,224233.93,6684.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100596,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/21,136816.21,1739.2,1446400,,,3035,105908.07,242724.28,8327.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100597,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 10/1/21,126406.98,1722.08,1060000,,,2145,36085.29,162492.27,6014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100598,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 9/1/21,179883.8,2029.6,931200,,,2538,37827.18,217710.98,6013.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100600,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 8/1/21,168144.23,1852.48,940800,,,2649,37498.9,205643.13,6170.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100601,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 7/1/21,198008.85,2158.24,1017600,,,2594,39482.46,237491.31,6371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100602,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 6/1/21,176814.44,1941.76,952800,,,2435,34054.16,210868.6,5972.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100603,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 5/1/21,103204.12,1840.96,891200,,,1894,31853.43,135057.55,5157.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100604,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 4/1/21,114730.6,1685.44,920000,,,2304,79004.67,193735.27,5713.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100605,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 3/1/21,107541.67,1836.64,921600,,,2742,93471.21,201012.88,6208.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100607,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 2/1/21,111589.4,1835.2,1017600,,,2455,79509.88,191099.28,6215.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100608,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 1/1/21,95454.41,1686.88,984800,,,2330,75382.82,170837.23,5964.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100609,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/20,93552.68,1435.36,1080800,,,2570,73810.85,167363.53,6559.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100610,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/20,88586.82,1567.36,920000,,,2285,75712.64,164299.46,5692.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100611,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 10/1/20,112804.01,1808.8,1017600,,,2133,30673.92,143477.93,5855.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100612,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 9/1/20,171252.27,1967.68,1041600,,,2046,28559.3,199811.57,5840.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100613,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 8/1/20,167868.67,2008.48,1082400,,,1573,23540.17,191408.84,5451.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100614,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 7/1/20,197670.8,2051.2,1226400,,,1644,26685.5,224356.3,6022.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100615,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 6/1/20,144848.02,1754.08,980800,,,1204,22034.04,166882.06,4692.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100718,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 5/1/20,92215.16,1436.8,949600,,,1989,34470.07,126685.23,5463.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100880,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 4/1/20,88256.34,1333.6,897600,,,2215,82185.68,170442.02,5538.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100902,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 3/1/20,99617.89,1653.28,950400,,,2821,96044.85,195662.74,6395.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101133,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 2/1/20,92931.93,1686.88,960000,,,2488,82615.85,175547.78,6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101233,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 1/1/20,95217.2,1682.08,1058400,,,3006,97249.08,192466.28,6970.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101245,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/19,98013.9,1714.72,1098400,,,3328,101692.95,199706.85,7466.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101279,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/19,96979.92,1856.8,1159200,,,2468,80444.49,177424.41,6713.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101287,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 10/1/19,116381.23,2065.44,1169600,,,2071,29358.71,145739.94,6305.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101356,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 9/1/19,182985.36,2246.56,1236000,,,2001,27981.92,210967.28,6453.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101422,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 8/1/19,193654.63,2377.76,1404800,,,1701,25034.15,218688.78,6694.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101469,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 7/1/19,194517.47,2336.96,1276000,,,1613,25772.5,220289.97,6156.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101484,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 6/1/19,165052.32,1991.84,1106400,,,1542,25496.55,190548.87,5498.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101619,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 5/1/19,125803,1920.48,1118400,,,1838,31964.87,157767.87,5870.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101714,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 4/1/19,93131.56,1696.8,996800,,,2298,85399.75,178531.31,5969.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101818,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 3/1/19,105111.02,1621.6,935200,,,2708,95758.76,200869.78,6217.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200562,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 2/1/19,105067.8,1652.8,981600,,,3008,113357.48,218425.28,6710.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200563,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 1/1/19,119504.41,1663.2,1047200,,,3107,103206.83,222711.24,7045.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200564,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/18,115499.19,1723.36,1038400,,,3265,97713.87,213213.06,7191.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200565,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/18,120562.92,1918.24,1167200,,,2731,93691.31,214254.23,7034.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200566,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 10/1/18,139474.9,2116.64,1131200,,,1779,31460.67,170935.57,5848.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200567,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 9/1/18,202409.77,2270.4,1281600,,,1164,23142.17,225551.94,5674.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200568,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 8/1/18,184033.38,2232.64,1192000,,,1041,21052.37,205085.75,5231.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200569,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 7/1/18,185864.93,2240.48,1236800,,,1350,24619.64,210484.57,5729.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200570,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 6/1/18,182729.61,2172.8,1191200,,,1452,24485.37,207214.98,5687.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200571,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 5/1/18,117823.62,1951.68,1019200,,,1697,32211.91,150035.53,5374.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200573,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 4/1/18,89439.28,1538.4,864000,,,2233,82197.14,171636.42,5443.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200574,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 3/1/18,132494.5,1491.84,860800,,,2727,92107.41,224601.91,5984.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200575,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 2/1/18,110700.94,1549.92,934400,,,2475,91867.74,202568.68,5954.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200576,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 1/1/18,88014.14,1408.32,888800,,,3729,126796.9,214811.04,7199.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200577,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/17,96348.03,1521.6,892800,,,2676,80225.97,176574,6036.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200578,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/17,91243.46,1550.4,977600,,,2101,74979.4,166222.86,5683.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200579,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 10/1/17,106917.59,1767.84,982400,,,1271,22207.42,129125.01,4772.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200580,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 9/1/17,159283.71,1716.48,1014400,,,1423,24337.06,183620.77,5051.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200581,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 8/1/17,168188.31,1933.44,1027200,,,1447,25171.52,193359.83,5122.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200582,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 7/1/17,166455.93,1825.44,1011200,,,1640,29151.25,195607.18,5283.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200584,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 6/1/17,156740.05,1820.64,996000,,,1335,24511.14,181251.19,4890.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200585,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 5/1/17,94924.99,1682.88,850400,,,1756,33258.4,128183.39,4864.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200586,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 4/1/17,90935.66,1559.04,860800,,,1823,70201.69,161137.35,4974.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200587,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 3/1/17,87339.52,1515.36,846400,,,2656,94613.19,181952.71,5855.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200588,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 2/1/17,99502.31,1498.08,961600,,,2519,90096.93,189599.24,6096.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200589,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 1/1/17,86120.4,1455.84,894400,,,2951,100058.29,186178.69,6349.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200590,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 12/1/16,85520.29,1591.2,902400,,,2371,73939.66,159459.95,5728.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200591,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 11/1/16,82310.91,1695.36,1004800,,,1803,66066.88,148377.79,5443.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200592,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 10/1/16,96768.92,1712.16,995200,,,1513,28325.67,125094.59,5086.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200722,Central Library - Stephen A. Schwartzman Building,0100581 Central Library - Stephen A. Schwartzman Building, 9/1/16,167689.97,1929.6,1140800,,,1336,25110.69,192800.66,5386.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
